REF_DATE,GEO,Province_encoding,DGUID,North American Industry Classification System (NAICS),Industry_encoding,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2002,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,80.4,,,,1
2002,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,65.8,,,,1
2003,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,1729,,,,1
2003,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,472.3,,,,1
2003,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,65.3,,,,1
2003,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,101.2,,,,1
2003,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,14,,,,1
2003,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,144.7,,,,1
2003,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,147.1,,,,1
2003,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1256.6,,,,1
2003,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,264.3,,,,1
2003,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,100.5,,,,1
2003,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,86.5,,,,1
2003,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,119.8,,,,1
2003,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,62.8,,,,1
2003,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,110.2,,,,1
2003,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,158.4,,,,1
2003,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,74.1,,,,1
2003,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,124,,,,1
2003,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,83,,,,1
2003,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,73.1,,,,1
2004,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,1774.8,,,,1
2004,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,497.9,,,,1
2004,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,65.2,,,,1
2004,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,111.2,,,,1
2004,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,13.8,,,,1
2004,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,161.1,,,,1
2004,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,146.6,,,,1
2004,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1276.9,,,,1
2004,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,271.2,,,,1
2004,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,100,,,,1
2004,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,92.5,,,,1
2004,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,122.4,,,,1
2004,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,64.8,,,,1
2004,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,109.6,,,,1
2004,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,165.8,,,,1
2004,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,72.6,,,,1
2004,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,124.7,,,,1
2004,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,81.9,,,,1
2004,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,71.4,,,,1
2005,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,1820.4,,,,1
2005,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,497.3,,,,1
2005,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,55.9,,,,1
2005,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,130,,,,1
2005,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,13.8,,,,1
2005,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,163.2,,,,1
2005,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,134.4,,,,1
2005,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1323.1,,,,1
2005,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,284.8,,,,1
2005,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,108.6,,,,1
2005,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,97,,,,1
2005,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,135.7,,,,1
2005,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,63.6,,,,1
2005,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,122.3,,,,1
2005,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,174.1,,,,1
2005,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,73.5,,,,1
2005,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,109.4,,,,1
2005,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,83.8,,,,1
2005,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,70.2,,,,1
2006,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,1911.6,,,,1
2006,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,532.1,,,,1
2006,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,52.4,,,,1
2006,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,144.7,,,,1
2006,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,17.6,,,,1
2006,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,176.6,,,,1
2006,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,140.9,,,,1
2006,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1379.5,,,,1
2006,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,290.9,,,,1
2006,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,107.6,,,,1
2006,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,99.5,,,,1
2006,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,143.9,,,,1
2006,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,63.2,,,,1
2006,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,132.1,,,,1
2006,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,181.5,,,,1
2006,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,69.8,,,,1
2006,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,117.3,,,,1
2006,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,90.1,,,,1
2006,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,83.5,,,,1
2007,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,1991,,,,1
2007,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,567.9,,,,1
2007,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,49.8,,,,1
2007,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,155.9,,,,1
2007,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,19.7,,,,1
2007,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,198.1,,,,1
2007,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,144.4,,,,1
2007,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1423.1,,,,1
2007,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,295.8,,,,1
2007,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,107.6,,,,1
2007,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,100.9,,,,1
2007,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,149.2,,,,1
2007,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,74.6,,,,1
2007,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,131.9,,,,1
2007,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,190.3,,,,1
2007,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,76,,,,1
2007,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,117.8,,,,1
2007,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,96.8,,,,1
2007,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,82.4,,,,1
2008,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,2053.9,,,,1
2008,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,585.6,,,,1
2008,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,59.3,,,,1
2008,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,152.1,,,,1
2008,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,17.5,,,,1
2008,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,216.5,,,,1
2008,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,140.3,,,,1
2008,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1468.2,,,,1
2008,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,320.7,,,,1
2008,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,108.3,,,,1
2008,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,113,,,,1
2008,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,161.5,,,,1
2008,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,71.4,,,,1
2008,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,122.5,,,,1
2008,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,193,,,,1
2008,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,73.2,,,,1
2008,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,120.7,,,,1
2008,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,97.6,,,,1
2008,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,86.5,,,,1
2009,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,2029.7,,,,1
2009,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,540.4,,,,1
2009,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,58.3,,,,1
2009,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,137.3,,,,1
2009,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,19.4,,,,1
2009,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,202.1,,,,1
2009,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,123.4,,,,1
2009,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1489.3,,,,1
2009,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,318.1,,,,1
2009,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,105.9,,,,1
2009,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,112.8,,,,1
2009,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,149.2,,,,1
2009,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,72.8,,,,1
2009,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,129.8,,,,1
2009,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,203.4,,,,1
2009,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,74.8,,,,1
2009,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,130.3,,,,1
2009,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,104.4,,,,1
2009,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,87.8,,,,1
2010,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,2023.7,,,,1
2010,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,534.1,,,,1
2010,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,51.4,,,,1
2010,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,139.1,,,,1
2010,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,18.2,,,,1
2010,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,200.3,,,,1
2010,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,125.2,,,,1
2010,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1489.5,,,,1
2010,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,311.1,,,,1
2010,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,107.7,,,,1
2010,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,110.2,,,,1
2010,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,150.4,,,,1
2010,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,72,,,,1
2010,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,128.8,,,,1
2010,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,215.6,,,,1
2010,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,75.5,,,,1
2010,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,131.8,,,,1
2010,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,99.8,,,,1
2010,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,86.7,,,,1
2011,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,2099.5,,,,1
2011,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,574.3,,,,1
2011,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,55.3,,,,1
2011,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,150.2,,,,1
2011,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,17.1,,,,1
2011,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,218,,,,1
2011,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,133.7,,,,1
2011,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1525.2,,,,1
2011,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,320.2,,,,1
2011,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,110.8,,,,1
2011,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,98.4,,,,1
2011,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,162.1,,,,1
2011,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,73.1,,,,1
2011,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,126.5,,,,1
2011,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,222,,,,1
2011,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,76.8,,,,1
2011,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,141.5,,,,1
2011,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,105.8,,,,1
2011,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,88,,,,1
2012,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,2172.5,,,,1
2012,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,622.8,,,,1
2012,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,56.3,,,,1
2012,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,174.5,,,,1
2012,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,18.4,,,,1
2012,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,236,,,,1
2012,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,137.6,,,,1
2012,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1549.7,,,,1
2012,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,322.4,,,,1
2012,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,117.3,,,,1
2012,Alberta,1,2016A000248,"Finance, insurance, real estate, rental and leasing",11,Persons,249,thousands,3,v91417546,63.11,97.5,,,,1
2012,Alberta,1,2016A000248,"Professional, scientific and technical services",12,Persons,249,thousands,3,v91417547,63.12,166.3,,,,1
2012,Alberta,1,2016A000248,"Business, building and other support services",13,Persons,249,thousands,3,v91417548,63.13,73.1,,,,1
2012,Alberta,1,2016A000248,Educational services,14,Persons,249,thousands,3,v91417549,63.14,128.2,,,,1
2012,Alberta,1,2016A000248,Health care and social assistance,15,Persons,249,thousands,3,v91417550,63.15,231.2,,,,1
2012,Alberta,1,2016A000248,"Information, culture and recreation",16,Persons,249,thousands,3,v91417551,63.16,70.4,,,,1
2012,Alberta,1,2016A000248,Accommodation and food services,17,Persons,249,thousands,3,v91417552,63.17,144.3,,,,1
2012,Alberta,1,2016A000248,Other services (except public administration),18,Persons,249,thousands,3,v91417553,63.18,108,,,,1
2012,Alberta,1,2016A000248,Public administration,19,Persons,249,thousands,3,v91417554,63.19,90.9,,,,1
2013,Alberta,1,2016A000248,"Total employed, all industries",1,Persons,249,thousands,3,v91417536,63.1,2226.2,,,,1
2013,Alberta,1,2016A000248,Goods-producing sector,2,Persons,249,thousands,3,v91417537,63.2,642.1,,,,1
2013,Alberta,1,2016A000248,Agriculture,3,Persons,249,thousands,3,v91417538,63.3,63.4,,,,1
2013,Alberta,1,2016A000248,"Forestry, fishing, mining, quarrying, oil and gas",4,Persons,249,thousands,3,v91417539,63.4,173.3,,,,1
2013,Alberta,1,2016A000248,Utilities,5,Persons,249,thousands,3,v91417540,63.5,18.7,,,,1
2013,Alberta,1,2016A000248,Construction,6,Persons,249,thousands,3,v91417541,63.6,244,,,,1
2013,Alberta,1,2016A000248,Manufacturing,7,Persons,249,thousands,3,v91417542,63.7,142.7,,,,1
2013,Alberta,1,2016A000248,Services-producing sector,8,Persons,249,thousands,3,v91417543,63.8,1584.1,,,,1
2013,Alberta,1,2016A000248,Wholesale and retail trade,9,Persons,249,thousands,3,v91417544,63.9,326,,,,1
2013,Alberta,1,2016A000248,Transportation and warehousing,10,Persons,249,thousands,3,v91417545,63.1,119.8,,,,1
